canal,tvg_id,categoria,url_original,status,resultado,url_final
1001 Noites (720p) [Not 24/7],1001Noites.br,Documentarios e Outros,https://cdn.jmvstream.com/w/LVW-8155/ngrp:LVW8155_41E1ciuCvO_all/playlist.m3u8,OFF,HTTP 404,https://cdn.jmvstream.com/w/LVW-8155/ngrp:LVW8155_41E1ciuCvO_all/playlist.m3u8
A&E Latin America Brazil (720p),AELatinAmerica.us,Documentarios e Outros,http://170.83.16.50/AeE/index.m3u8,OK,206/206,http://170.83.16.50/AeE/index.m3u8
Adesso TV (720p),AdessoTV.br,Canais Abertos,https://cdn.jmvstream.com/w/LVW-9715/LVW9715_12B26T62tm/playlist.m3u8,OK,200/200,https://cdn.jmvstream.com/w/LVW-9715/LVW9715_12B26T62tm/playlist.m3u8
Adrenalina Pura TV Brazil,AdrenalinaPuraTV.us,Filmes e Series,https://jmp2.uk/plu-61b790b985706b00072cb797.m3u8,OK,200/200,https://jmp2.uk/plu-61b790b985706b00072cb797.m3u8
Adult Swim Latin America Brazil (720p),AdultSwimLatinAmerica.us,Documentarios e Outros,http://168.197.104.22/ADULT_SWIM/index.m3u8,OK,206/206,http://168.197.104.22/ADULT_SWIM/index.m3u8
AgroBrasil TV (720p) [Not 24/7],AgroBrasilTV.br,Documentarios e Outros,http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8,OFF,URLError,http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8
AgroCanal (720p),AgroCanal.br,Documentarios e Outros,http://45.162.64.114/AGRO_CANAL/index.m3u8,OK,206/206,http://45.162.64.114/AGRO_CANAL/index.m3u8
AgroMais (720p),AgroMais.br,Noticias,http://45.162.64.114/AGROMAIS/index.m3u8,OK,206/206,http://45.162.64.114/AGROMAIS/index.m3u8
Alpha Channel (720p),AlphaChannel.br,Canais Abertos,https://5b01a3d32b65c.streamlock.net:1936/tvalpha/tvalpha/playlist.m3u8,OFF,URLError,https://5b01a3d32b65c.streamlock.net:1936/tvalpha/tvalpha/playlist.m3u8
Amazon Sat (1080p),AmazonSat.br,Canais Abertos,https://amazonsat.brasilstream.com.br/hls/amazonsat/index.m3u8,OK,206/206,https://amazonsat.brasilstream.com.br/hls/amazonsat/index.m3u8
AMC Latin America Brazil (720p),AMCLatinAmerica.us,Filmes e Series,http://170.83.49.66:8083/AMCHD/index.m3u8,OK,206/206,http://170.83.49.66:8083/AMCHD/index.m3u8
Angel TV Portuguese (720p),AngelTV.in,Documentarios e Outros,https://janya-digimix.akamaized.net/vglive-sk-382409/portuese/ngrp:angelportuguese_all/playlist.m3u8,OFF,failed,https://janya-digimix.akamaized.net/vglive-sk-382409/portuese/ngrp:angelportuguese_all/playlist.m3u8
Araruna TV,ArarunaTV.br,Canais Abertos,https://video05.logicahost.com.br/ararunatv/ararunatv/playlist.m3u8,OK,206/206,https://video05.logicahost.com.br/ararunatv/ararunatv/playlist.m3u8
